comunaId,nombre,region,coverageFraction,available,totalHa2017,burnedHa2017,burnedFraction2017,frequencyMean2013_2017,frequencyMax2013_2017,yearLastFireThrough2017
CHL.13.2.2_1,Coelemu,Ñuble,1.0,True,34198.094277368305,1378.0708150571909,0.04029671372562926,0.04333910399864882,1,2017
CHL.13.2.3_1,Ninhue,Ñuble,1.0,True,40302.00438130829,0.0,0.0,0.0027191763857030552,1,2016
CHL.13.2.4_1,Portezuelo,Ñuble,1.0,True,29043.759445014835,3263.100187927349,0.1123511642528577,0.11236831643808388,1,2017
CHL.13.2.5_1,Quirihue,Ñuble,1.0,True,58910.56874182823,10702.984066978406,0.18168190013380356,0.18743874259530946,2,2017
CHL.13.2.6_1,Ranquil,Ñuble,1.0,True,24726.804040928797,19.388528327189043,0.000784109757779306,0.0058355777863280745,1,2017
CHL.13.2.7_1,Treguaco,Ñuble,1.0,True,31431.734996109277,33.8625071164805,0.0010773349648268576,0.002198110452750972,1,2017
CHL.13.3.1_1,Coihueco,Ñuble,1.0,True,177440.06186270504,0.0,0.0,0.00258097143397539,2,2016
CHL.13.3.2_1,Ñiquén,Ñuble,1.0,True,49542.53412868595,819.5714497914485,0.016542784179400766,0.020522246313710135,1,2017
CHL.13.3.3_1,SanCarlos,Ñuble,1.0,True,87483.11548093904,439.7261465041298,0.005026411600532654,0.007826577135054535,1,2017
CHL.13.3.4_1,SanFabián,Ñuble,1.0,True,153964.80638758204,103.74588301133652,0.0006738285550151811,0.0008657716611572107,1,2017
CHL.13.3.5_1,SanNicolás,Ñuble,1.0,True,56485.095195811824,10041.850898098426,0.17777877267068845,0.17995859816824386,1,2017
CHL.3.1.1_1,Carahue,La Araucanía,1.0,True,133759.47853969433,0.0,0.0,0.0017187696045517472,1,2015
CHL.3.1.2_1,Cholchol,La Araucanía,1.0,True,42652.54996317081,0.0,0.0,0.0070819896767648155,1,2015
CHL.3.1.3_1,Cunco,La Araucanía,1.0,True,188677.2083813664,0.0,0.0,0.0,0,
CHL.3.1.4_1,Curarrehue,La Araucanía,1.0,True,116578.05801003495,0.0,0.0,0.0,0,
CHL.3.1.5_1,Freire,La Araucanía,1.0,True,87583.16975450021,0.0,0.0,0.0,0,
CHL.3.1.6_1,Galvarino,La Araucanía,1.0,True,56701.55145959214,681.8140387284914,0.012024609930018935,0.08623026511766459,2,2017
CHL.3.1.7_1,Gorbea,La Araucanía,1.0,True,68909.36402459549,0.0,0.0,0.00014358285742020028,1,2015
CHL.3.1.8_1,Lautaro,La Araucanía,1.0,True,90640.59608441866,0.0,0.0,0.0003861677503402231,1,2015
CHL.3.1.9_1,Loncoche,La Araucanía,1.0,True,97241.38277737297,0.0,0.0,0.00036377722254303865,1,2016
CHL.3.1.10_1,Melipeuco,La Araucanía,1.0,True,110716.61055904481,0.0,0.0,0.013363999347388097,1,2015
CHL.3.1.11_1,NuevaImperial,La Araucanía,1.0,True,73163.64889696072,0.0,0.0,0.00037838076024837103,1,2013
CHL.3.1.12_1,PadreLasCasas,La Araucanía,1.0,True,46340.538244873096,0.0,0.0,0.007455445664264642,1,2015
CHL.3.1.13_1,Perquenco,La Araucanía,1.0,True,33026.839363496154,0.0,0.0,0.0025002397928190045,1,2016
CHL.3.1.14_1,Pitrufquén,La Araucanía,1.0,True,57770.09772865605,0.0,0.0,0.0,0,
CHL.3.1.15_1,Pucón,La Araucanía,1.0,True,124885.38121092072,0.0,0.0,0.0,0,
CHL.3.1.16_1,Saavedra,La Araucanía,1.0,True,39499.817767990135,0.0,0.0,0.0,0,
CHL.3.1.17_1,Temuco,La Araucanía,1.0,True,46452.41242238432,0.0,0.0,0.0007521704194633914,1,2015
CHL.3.1.18_1,TeodoroSchmidt,La Araucanía,1.0,True,65505.19840790882,0.0,0.0,0.0004957662627326637,1,2014
CHL.3.1.19_1,Toltén,La Araucanía,1.0,True,85096.32723193821,29.715895330823386,0.000349203030229846,0.0043434784814518415,1,2017
CHL.3.1.20_1,Vilcún,La Araucanía,1.0,True,141540.68045092485,0.0,0.0,0.0,0,
